year,country,region,happiness_rank,happiness_score,standard_error_of_happiness_score,lower_confidence_interval,upper_confidence_interval,dystopia_residual,explained_by_freedom_to_make_life_choices,explained_by_gdp_per_capita,explained_by_generosity,explained_by_healthy_life_expectancy,explained_by_perceptions_of_corruption,explained_by_social_support,freedom_to_make_life_choices,generosity,healthy_life_expectancy,perceptions_of_corruption,social_support,logged_gdp_per_capita,ladder_score_in_dystopia
2015,Israel,Middle East and North Africa,11,7.278,0.0347,NA,NA,3.08854,0.41319,1.22857,0.33172,0.91387,0.07785,1.22393,NA,NA,NA,NA,NA,NA,NA
2015,Costa Rica,Latin America and Caribbean,12,7.226,0.04454,NA,NA,3.17728,0.63376,0.95578,0.25497,0.86027,0.10583,1.23788,NA,NA,NA,NA,NA,NA,NA
2015,Austria,West Europe,13,7.2,0.03751,NA,NA,2.5332,0.62433,1.33723,0.33088,0.89042,0.18676,1.29704,NA,NA,NA,NA,NA,NA,NA
2015,Mexico,Latin America and Caribbean,14,7.187,0.04176,NA,NA,3.60214,0.48181,1.02054,0.14074,0.81444,0.21312,0.91451,NA,NA,NA,NA,NA,NA,NA
2015,United States,North America,15,7.119,0.03839,NA,NA,2.51011,0.54604,1.39451,0.40105,0.86179,0.1589,1.24711,NA,NA,NA,NA,NA,NA,NA
2015,Brazil,Latin America and Caribbean,16,6.983,0.04076,NA,NA,3.26001,0.49049,0.98124,0.14574,0.69702,0.17521,1.23287,NA,NA,NA,NA,NA,NA,NA
2015,Luxembourg,West Europe,17,6.946,0.03499,NA,NA,1.96961,0.61583,1.56391,0.28034,0.91894,0.37798,1.21963,NA,NA,NA,NA,NA,NA,NA
2015,Ireland,West Europe,18,6.94,0.03676,NA,NA,1.9757,0.61777,1.33596,0.45901,0.89533,0.28703,1.36948,NA,NA,NA,NA,NA,NA,NA
2015,Belgium,West Europe,19,6.937,0.03595,NA,NA,2.41484,0.5845,1.30782,0.2225,0.89667,0.2254,1.28566,NA,NA,NA,NA,NA,NA,NA
2015,United Arab Emirates,Middle East and North Africa,20,6.901,0.03729,NA,NA,2.24743,0.64157,1.42727,0.26428,0.80925,0.38583,1.12575,NA,NA,NA,NA,NA,NA,NA
2015,United Kingdom,West Europe,21,6.867,0.01866,NA,NA,1.96994,0.59625,1.26637,0.51912,0.90943,0.32067,1.28548,NA,NA,NA,NA,NA,NA,NA
2015,Oman,Middle East and North Africa,22,6.853,0.05335,NA,NA,2.47489,0.63274,1.36011,0.21542,0.76276,0.32524,1.08182,NA,NA,NA,NA,NA,NA,NA
2015,Venezuela,Latin America and Caribbean,23,6.81,0.06476,NA,NA,3.19131,0.42908,1.04424,0.05841,0.72052,0.11069,1.25596,NA,NA,NA,NA,NA,NA,NA
2015,Singapore,Southeast Asia,24,6.798,0.0378,NA,NA,1.88501,0.54252,1.52186,0.31105,1.02525,0.4921,1.02,NA,NA,NA,NA,NA,NA,NA
2015,Panama,Latin America and Caribbean,25,6.786,0.0491,NA,NA,2.84848,0.5421,1.06353,0.24434,0.79661,0.0927,1.1985,NA,NA,NA,NA,NA,NA,NA
2015,Germany,West Europe,26,6.75,0.01848,NA,NA,2.11569,0.61477,1.32792,0.28214,0.89186,0.21843,1.29937,NA,NA,NA,NA,NA,NA,NA
2015,Chile,Latin America and Caribbean,27,6.67,0.058,NA,NA,2.67585,0.44132,1.10715,0.33363,0.85857000000000006,0.12869,1.12447,NA,NA,NA,NA,NA,NA,NA
2015,Qatar,Middle East and North Africa,28,6.611,0.06257,NA,NA,1.55674,0.6404,1.69042,0.32573,0.79733,0.52208,1.0786,NA,NA,NA,NA,NA,NA,NA
2015,France,West Europe,29,6.575,0.03512,NA,NA,2.21126,0.55011,1.27778,0.12332,0.94579,0.20646,1.26038,NA,NA,NA,NA,NA,NA,NA
2015,Argentina,Latin America and Caribbean,30,6.574,0.04612,NA,NA,2.836,0.44974,1.05351,0.11451,0.78723,0.08484,1.24823,NA,NA,NA,NA,NA,NA,NA
2015,Czech Republic,Central and East Europe,31,6.505,0.04168,NA,NA,2.67782,0.46364,1.17898,0.10686,0.84483,0.02652,1.20643,NA,NA,NA,NA,NA,NA,NA
2015,Uruguay,Latin America and Caribbean,32,6.485,0.04539,NA,NA,2.32142,0.60362,1.06166,0.2324,0.8116,0.24558,1.2089,NA,NA,NA,NA,NA,NA,NA
2015,Colombia,Latin America and Caribbean,33,6.477,0.05051,NA,NA,2.85737,0.53466,0.91861,0.18401,0.69077,0.0512,1.24018,NA,NA,NA,NA,NA,NA,NA
2015,Thailand,Southeast Asia,34,6.455,0.03557,NA,NA,2.31945,0.55664,0.9669,0.5763,0.7385,0.03187,1.26504,NA,NA,NA,NA,NA,NA,NA
2015,Saudi Arabia,Middle East and North Africa,35,6.411,0.04633,NA,NA,2.43872,0.31048,1.39541,0.13706,0.72025,0.32524,1.08393,NA,NA,NA,NA,NA,NA,NA
2015,Spain,West Europe,36,6.329,0.03468,NA,NA,2.12367,0.45951,1.23011,0.18227,0.95562,0.06398,1.31379,NA,NA,NA,NA,NA,NA,NA
2015,Malta,West Europe,37,6.302,0.04206,NA,NA,1.6488,0.60365,1.2074,0.51752,0.88721,0.13586,1.30203,NA,NA,NA,NA,NA,NA,NA
2015,Taiwan,East Asia,38,6.298,0.03868,NA,NA,2.32323,0.3974,1.29098,0.25376,0.8753,0.08129,1.07617,NA,NA,NA,NA,NA,NA,NA
2015,Kuwait,Middle East and North Africa,39,6.295,0.04456,NA,NA,1.87634,0.55499,1.55422,0.16228,0.72492,0.25609,1.16594,NA,NA,NA,NA,NA,NA,NA
2015,Suriname,Latin America and Caribbean,40,6.269,0.09811,NA,NA,2.79094,0.59657,0.99534,0.16991,0.6082,0.13633,0.972,NA,NA,NA,NA,NA,NA,NA
2015,Trinidad and Tobago,Latin America and Caribbean,41,6.168,0.10895,NA,NA,2.26882,0.55884,1.21183,0.31844,0.61483,0.0114,1.18354,NA,NA,NA,NA,NA,NA,NA
2015,El Salvador,Latin America and Caribbean,42,6.13,0.05618,NA,NA,3.035,0.4035,0.76454,0.10692,0.67737,0.11776,1.02507,NA,NA,NA,NA,NA,NA,NA
2015,Guatemala,Latin America and Caribbean,43,6.123,0.05224,NA,NA,2.74255,0.57733,0.74553,0.27489,0.64425,0.09472,1.04356,NA,NA,NA,NA,NA,NA,NA
2015,Uzbekistan,Central and East Europe,44,6.003,0.04361,NA,NA,2.23741,0.65821,0.63244,0.22837,0.59772,0.30826,1.34043,NA,NA,NA,NA,NA,NA,NA
2015,Slovakia,Central and East Europe,45,5.995,0.04267,NA,NA,2.24639,0.31751,1.16891,0.16893,0.78902,0.03431,1.26999,NA,NA,NA,NA,NA,NA,NA
2015,Japan,East Asia,46,5.987,0.03581,NA,NA,1.68435,0.49615,1.27074,0.10705,0.99111,0.1806,1.25712,NA,NA,NA,NA,NA,NA,NA
2015,South Korea,East Asia,47,5.984,0.04098,NA,NA,2.21978,0.33208,1.24461,0.18557,0.96538,0.07857,0.95774,NA,NA,NA,NA,NA,NA,NA
2015,Ecuador,Latin America and Caribbean,48,5.975,0.04528,NA,NA,2.53942,0.48574,0.86402,0.11541,0.79075,0.1809,0.99903,NA,NA,NA,NA,NA,NA,NA
2015,Bahrain,Middle East and North Africa,49,5.96,0.05412,NA,NA,1.73797,0.45492,1.32376,0.17362,0.74716,0.306,1.21624,NA,NA,NA,NA,NA,NA,NA
2015,Italy,West Europe,50,5.948,0.03914,NA,NA,2.02518,0.26236,1.25114,0.22823,0.95446,0.02901,1.19777,NA,NA,NA,NA,NA,NA,NA
2015,Bolivia,Latin America and Caribbean,51,5.89,0.05642,NA,NA,2.82334,0.57414,0.68133,0.20536,0.5392,0.088,0.97841,NA,NA,NA,NA,NA,NA,NA
2015,Moldova,Central and East Europe,52,5.889,0.03799,NA,NA,3.10712,0.32818,0.59448,0.20951,0.61826,0.01615,1.01528,NA,NA,NA,NA,NA,NA,NA
2015,Paraguay,Latin America and Caribbean,53,5.878,0.04563,NA,NA,2.18896,0.53899,0.75985,0.3424,0.66098,0.08242,1.30477,NA,NA,NA,NA,NA,NA,NA
2015,Kazakhstan,Central and East Europe,54,5.855,0.04114,NA,NA,2.24729,0.51649,1.12254,0.11827,0.64368,0.08454,1.12241,NA,NA,NA,NA,NA,NA,NA
2015,Slovenia,Central and East Europe,55,5.848,0.04251,NA,NA,1.61583,0.60855,1.18498,0.25328,0.87337,0.03787,1.27385,NA,NA,NA,NA,NA,NA,NA
2015,Lithuania,Central and East Europe,56,5.833,0.03843,NA,NA,2.44649,0.21342,1.14723,0.02641,0.73128,0.01031,1.25745,NA,NA,NA,NA,NA,NA,NA
2015,Nicaragua,Latin America and Caribbean,57,5.828,0.05371,NA,NA,2.32407,0.55475,0.59325,0.27815,0.74314,0.19317,1.14184,NA,NA,NA,NA,NA,NA,NA
2015,Peru,Latin America and Caribbean,58,5.824,0.04615,NA,NA,2.5945,0.41496,0.90019,0.14982,0.73017,0.05989,0.97459,NA,NA,NA,NA,NA,NA,NA
2015,Belarus,Central and East Europe,59,5.813,0.03938,NA,NA,2.1309,0.37938,1.03192,0.11046,0.73608,0.1909,1.23289,NA,NA,NA,NA,NA,NA,NA
2015,Poland,Central and East Europe,60,5.791,0.04263,NA,NA,1.86565,0.53122,1.12555,0.16759,0.77903,0.04212,1.27948,NA,NA,NA,NA,NA,NA,NA
2015,Malaysia,Southeast Asia,61,5.77,0.0433,NA,NA,1.88541,0.53024,1.12486,0.33075,0.72394,0.10501,1.07023,NA,NA,NA,NA,NA,NA,NA
2015,Croatia,Central and East Europe,62,5.759,0.04394,NA,NA,2.75414,0.25883,1.08254,0.05444,0.78805,0.0243,0.79624,NA,NA,NA,NA,NA,NA,NA
2015,Libya,Middle East and North Africa,63,5.754,0.07832,NA,NA,2.09066,0.41668,1.13145,0.18295,0.7038,0.11023,1.11862,NA,NA,NA,NA,NA,NA,NA
2015,Russia,Central and East Europe,64,5.716,0.03135,NA,NA,2.27394,0.36679,1.13764,0.00199,0.66926,0.03005,1.23617,NA,NA,NA,NA,NA,NA,NA
2015,Jamaica,Latin America and Caribbean,65,5.709,0.13693,NA,NA,2.32038,0.50442,0.81038,0.2123,0.68741,0.02299,1.15102,NA,NA,NA,NA,NA,NA,NA
2015,North Cyprus,West Europe,66,5.695,0.05635,NA,NA,1.59888,0.49027,1.20806,0.26169,0.92356,0.1428,1.07008,NA,NA,NA,NA,NA,NA,NA
2015,Cyprus,West Europe,67,5.689,0.0558,NA,NA,1.88931,0.40672,1.20813,0.30638,0.92356,0.06146,0.89318,NA,NA,NA,NA,NA,NA,NA
2015,Algeria,Middle East and North Africa,68,5.605,0.05099,NA,NA,2.43209,0.28579,0.93929,0.07822,0.61766,0.17383,1.07772,NA,NA,NA,NA,NA,NA,NA
2015,Kosovo,Central and East Europe,69,5.589,0.05018,NA,NA,2.76579,0.24749,0.80148,0.2831,0.63132,0.04741,0.81198,NA,NA,NA,NA,NA,NA,NA
2015,Turkmenistan,Central and East Europe,70,5.548,0.04175,NA,NA,1.86984,0.4761,0.95847,0.16979,0.53886,0.30844,1.22668,NA,NA,NA,NA,NA,NA,NA
2015,Mauritius,Sub-Saharan Africa,71,5.477,0.07197,NA,NA,1.76145,0.56066,1.00761,0.37744,0.7095,0.07521,0.98521,NA,NA,NA,NA,NA,NA,NA
2015,Hong Kong,East Asia,72,5.474,0.05051,NA,NA,0.65429,0.59608,1.38604,0.39478,1.01328,0.37124,1.05818,NA,NA,NA,NA,NA,NA,NA
2015,Estonia,Central and East Europe,73,5.429,0.04013,NA,NA,1.58782,0.44888,1.15174,0.0868,0.77361,0.15184,1.22791,NA,NA,NA,NA,NA,NA,NA
2015,Indonesia,Southeast Asia,74,5.399,0.02596,NA,NA,1.86399,0.46611,0.82827,0.51535,0.63793,0,1.08708,NA,NA,NA,NA,NA,NA,NA
2015,Vietnam,Southeast Asia,75,5.36,0.03107,NA,NA,2.20173,0.59444,0.63216,0.1686,0.74676,0.10441,0.91226,NA,NA,NA,NA,NA,NA,NA
2015,Turkey,Middle East and North Africa,76,5.332,0.03864,NA,NA,2.08528,0.22815,1.06098,0.12253,0.73172,0.15746,0.94632,NA,NA,NA,NA,NA,NA,NA
2015,Kyrgyzstan,Central and East Europe,77,5.286,0.03823,NA,NA,2.2327,0.43477,0.47428,0.3003,0.65088,0.04232,1.15115,NA,NA,NA,NA,NA,NA,NA
2015,Nigeria,Sub-Saharan Africa,78,5.268,0.04192,NA,NA,2.89319,0.34334,0.65435,0.27233,0.16007,0.0403,0.90432,NA,NA,NA,NA,NA,NA,NA
2015,Bhutan,South Asia,79,5.253,0.03225,NA,NA,1.63794,0.53206,0.77042,0.47998,0.57407,0.15445,1.10395,NA,NA,NA,NA,NA,NA,NA
2015,Azerbaijan,Central and East Europe,80,5.212,0.03363,NA,NA,2.00073,0.3703,1.02389,0.07799,0.64045,0.16065,0.93793,NA,NA,NA,NA,NA,NA,NA
2015,Pakistan,South Asia,81,5.194,0.03726,NA,NA,3.10709,0.12102,0.59543,0.33671,0.51466,0.10464,0.41411,NA,NA,NA,NA,NA,NA,NA
2015,Jordan,Middle East and North Africa,82,5.192,0.04524,NA,NA,1.87996,0.40661,0.90198,0.11053,0.69639,0.14293,1.05392,NA,NA,NA,NA,NA,NA,NA
2015,Montenegro,Central and East Europe,82,5.192,0.05235,NA,NA,2.10017,0.1826,0.97438,0.1614,0.72521,0.14296,0.90557,NA,NA,NA,NA,NA,NA,NA
2015,China,East Asia,84,5.14,0.02424,NA,NA,1.8604,0.51697,0.89012,0.08185,0.81658,0.02781,0.94675,NA,NA,NA,NA,NA,NA,NA
2015,Zambia,Sub-Saharan Africa,85,5.129,0.06988,NA,NA,2.6343,0.48827,0.47038,0.19591,0.29924,0.12468,0.91612,NA,NA,NA,NA,NA,NA,NA
2015,Romania,Central and East Europe,86,5.124,0.06607,NA,NA,1.93129,0.35068,1.04345,0.13748,0.7689,0.00649,0.88588,NA,NA,NA,NA,NA,NA,NA
2015,Serbia,Central and East Europe,87,5.123,0.04864,NA,NA,2.025,0.20107,0.92053,0.19231,0.74836,0.02617,1.00964,NA,NA,NA,NA,NA,NA,NA
2015,Portugal,West Europe,88,5.102,0.04802,NA,NA,1.26462,0.51469,1.15991,0.13719,0.87519,0.01078,1.13935,NA,NA,NA,NA,NA,NA,NA
2015,Latvia,Central and East Europe,89,5.098,0.0464,NA,NA,1.62215,0.29671,1.11312,0.18226,0.72437,0.06332,1.09562,NA,NA,NA,NA,NA,NA,NA
2015,Philippines,Southeast Asia,90,5.073,0.04934,NA,NA,1.7536,0.62545,0.70532,0.24991,0.58114,0.12279,1.03516,NA,NA,NA,NA,NA,NA,NA
2015,Somalia,Sub-Saharan Africa,91,5.057,0.06161,NA,NA,2.11032,0.46582,0.18847,0.50318,0.43873,0.39928,0.95152,NA,NA,NA,NA,NA,NA,NA
2015,Morocco,Middle East and North Africa,92,5.013,0.0342,NA,NA,2.45373,0.41691,0.73479,0.07172,0.60954,0.08546,0.64095,NA,NA,NA,NA,NA,NA,NA
2015,Macedonia,Central and East Europe,93,5.007,0.05376,NA,NA,1.73933,0.33457,0.91851,0.22359,0.73545,0.05327,1.00232,NA,NA,NA,NA,NA,NA,NA
2015,Mozambique,Sub-Saharan Africa,94,4.971,0.07896,NA,NA,3.05137,0.34037,0.08308,0.22269,0.09131,0.15603,1.02626,NA,NA,NA,NA,NA,NA,NA
2015,Albania,Central and East Europe,95,4.959,0.05013,NA,NA,1.89894,0.35733,0.87867,0.14272,0.81325,0.06413,0.80434,NA,NA,NA,NA,NA,NA,NA
2015,Bosnia and Herzegovina,Central and East Europe,96,4.949,0.06913,NA,NA,2.06367,0.09245,0.83223,0.24808,0.79081,0.00227,0.91916,NA,NA,NA,NA,NA,NA,NA
2015,Lesotho,Sub-Saharan Africa,97,4.898,0.09438,NA,NA,2.79832,0.31767,0.37545,0.16388,0.07612,0.12504,1.04103,NA,NA,NA,NA,NA,NA,NA
2015,Dominican Republic,Latin America and Caribbean,98,4.885,0.07446,NA,NA,1.21305,0.57672,0.89537,0.21684,0.66825,0.14234,1.17202,NA,NA,NA,NA,NA,NA,NA
2015,Laos,Southeast Asia,99,4.876,0.06698,NA,NA,1.73799,0.59591,0.59066,0.42192,0.54909,0.24249,0.73803,NA,NA,NA,NA,NA,NA,NA
2015,Mongolia,East Asia,100,4.874,0.03313,NA,NA,1.34759,0.43626,0.82819,0.3323,0.60268,0.02666,1.3006,NA,NA,NA,NA,NA,NA,NA
2015,"Eswatini, Kingdom of",Sub-Saharan Africa,101,4.867,0.08742,NA,NA,2.48676,0.30658,0.71206,0.18259,0.07566,0.0306,1.07284,NA,NA,NA,NA,NA,NA,NA
2015,Greece,West Europe,102,4.857,0.05062,NA,NA,1.80101,0.07699,1.15406,0,0.88213,0.01397,0.92933,NA,NA,NA,NA,NA,NA,NA
2015,Lebanon,Middle East and North Africa,103,4.839,0.04337,NA,NA,1.57059,0.33916,1.02564,0.21854,0.83947,0.04582,0.80001,NA,NA,NA,NA,NA,NA,NA
2015,Hungary,Central and East Europe,104,4.8,0.06107,NA,NA,1.24074,0.32112,1.12094,0.128,0.75905,0.02758,1.20215,NA,NA,NA,NA,NA,NA,NA
2015,Honduras,Latin America and Caribbean,105,4.788,0.05648,NA,NA,1.84408,0.40148,0.59532,0.23027,0.6951,0.06825,0.95348,NA,NA,NA,NA,NA,NA,NA
2015,Tajikistan,Central and East Europe,106,4.786,0.03198,NA,NA,2.11399,0.47216,0.39047,0.22974,0.57379,0.15072,0.85563,NA,NA,NA,NA,NA,NA,NA
2015,Tunisia,Middle East and North Africa,107,4.739,0.03589,NA,NA,2.12466,0.26268,0.88113,0.06431,0.73793,0.06358,0.60429,NA,NA,NA,NA,NA,NA,NA
2015,Palestinian Territories,Middle East and North Africa,108,4.715,0.04394,NA,NA,2.04384,0.24499,0.59867,0.11251,0.66015,0.12905,0.92558,NA,NA,NA,NA,NA,NA,NA
2015,Bangladesh,South Asia,109,4.694,0.03077,NA,NA,2.51767,0.4082,0.39753,0.21222,0.60164,0.12569,0.43106,NA,NA,NA,NA,NA,NA,NA
2015,Iran,Middle East and North Africa,110,4.686,0.04449,NA,NA,1.6944,0.30033,1.0088,0.38086,0.69805,0.05863,0.54447,NA,NA,NA,NA,NA,NA,NA
2015,Ukraine,Central and East Europe,111,4.681,0.04412,NA,NA,1.5714,0.25123,0.79907,0.15275,0.6739,0.02961,1.20278,NA,NA,NA,NA,NA,NA,NA
2015,Iraq,Middle East and North Africa,112,4.677,0.05232,NA,NA,1.95335,0,0.98549,0.17922,0.60237,0.13788,0.81889,NA,NA,NA,NA,NA,NA,NA
2015,South Africa,Sub-Saharan Africa,113,4.642,0.04585,NA,NA,1.71956,0.33207,0.92049,0.11973,0.27688,0.08884,1.18468,NA,NA,NA,NA,NA,NA,NA
2015,Ghana,Sub-Saharan Africa,114,4.633,0.04742,NA,NA,2.30919,0.42342,0.54558,0.23087,0.40132,0.04355,0.67954,NA,NA,NA,NA,NA,NA,NA
2015,Zimbabwe,Sub-Saharan Africa,115,4.61,0.0429,NA,NA,2.44191,0.25861,0.271,0.18987,0.33475,0.08079,1.03276,NA,NA,NA,NA,NA,NA,NA
2015,Liberia,Sub-Saharan Africa,116,4.571,0.11068,NA,NA,2.77729,0.28531,0.0712,0.24362,0.34201,0.06232,0.78968,NA,NA,NA,NA,NA,NA,NA
2015,India,South Asia,117,4.565,0.02043,NA,NA,2.27513,0.39786,0.64499,0.26475,0.51529,0.08492,0.38174,NA,NA,NA,NA,NA,NA,NA
2015,Sudan,Sub-Saharan Africa,118,4.55,0.0674,NA,NA,2.20857,0.10081,0.52107,0.19062,0.36878,0.1466,1.01404,NA,NA,NA,NA,NA,NA,NA
2015,Haiti,Latin America and Caribbean,119,4.518,0.07331,NA,NA,2.24173,0.24425,0.26673,0.46187,0.38847,0.17175,0.74302,NA,NA,NA,NA,NA,NA,NA
2015,Congo,Sub-Saharan Africa,120,4.517,0.0368,NA,NA,2.86712,0.22605,0,0.24834,0.09806,0.07625,1.0012,NA,NA,NA,NA,NA,NA,NA
2015,Nepal,South Asia,121,4.514,0.03607,NA,NA,1.95637,0.38282,0.35997,0.32296,0.56874,0.05907,0.86449,NA,NA,NA,NA,NA,NA,NA
2015,Ethiopia,Sub-Saharan Africa,122,4.512,0.0378,NA,NA,2.44876,0.4345,0.19073,0.24325,0.44055,0.15048,0.60406,NA,NA,NA,NA,NA,NA,NA
2015,Sierra Leone,Sub-Saharan Africa,123,4.507,0.07068,NA,NA,2.51009,0.4084,0.33024,0.21488,0,0.08786,0.95571,NA,NA,NA,NA,NA,NA,NA
2015,Mauritania,Sub-Saharan Africa,124,4.436,0.03947,NA,NA,2.11773,0.24232,0.45407,0.219,0.35874,0.17461,0.86908,NA,NA,NA,NA,NA,NA,NA
2015,Kenya,Sub-Saharan Africa,125,4.419,0.04734,NA,NA,1.78555,0.42215,0.36471,0.37542,0.41435,0.05839,0.99876,NA,NA,NA,NA,NA,NA,NA
2015,Djibouti,Sub-Saharan Africa,126,4.369,0.08096,NA,NA,2.05125,0.46074,0.44025,0.18093,0.36291,0.28105,0.59207,NA,NA,NA,NA,NA,NA,NA
2015,Armenia,Central and East Europe,127,4.35,0.04763,NA,NA,1.75873,0.19847,0.76821,0.07855,0.7299,0.039,0.77711,NA,NA,NA,NA,NA,NA,NA
2015,Botswana,Sub-Saharan Africa,128,4.332,0.04934,NA,NA,1.46181,0.49495,0.99355,0.10461,0.04776,0.12474,1.10464,NA,NA,NA,NA,NA,NA,NA
2015,Myanmar,Southeast Asia,129,4.307,0.04351,NA,NA,1.41805,0.44017,0.27108,0.79588,0.48246,0.19034,0.70905,NA,NA,NA,NA,NA,NA,NA
2015,Georgia,Central and East Europe,130,4.297,0.04221,NA,NA,1.59541,0.40577,0.7419,0.05547,0.72926,0.38331,0.38562,NA,NA,NA,NA,NA,NA,NA
2015,Malawi,Sub-Saharan Africa,131,4.292,0.0613,NA,NA,2.80791,0.43054,0.01604,0.33128,0.22562,0.06977,0.41134,NA,NA,NA,NA,NA,NA,NA
2015,Sri Lanka,South Asia,132,4.271,0.03751,NA,NA,0.67108,0.53726,0.83524,0.40828,0.70806,0.09179,1.01905,NA,NA,NA,NA,NA,NA,NA
2015,Cameroon,Sub-Saharan Africa,133,4.252,0.04678,NA,NA,1.95071,0.49309,0.4225,0.20618,0.23402,0.05786,0.88767,NA,NA,NA,NA,NA,NA,NA
2015,Bulgaria,Central and East Europe,134,4.218,0.048280000000000003,NA,NA,0.89991,0.30587,1.01216,0.11921,0.76649,0.00872,1.10614,NA,NA,NA,NA,NA,NA,NA
2015,Egypt,Middle East and North Africa,135,4.194,0.0326,NA,NA,1.59927,0.17288,0.8818,0.11291,0.61712,0.06324,0.747,NA,NA,NA,NA,NA,NA,NA
2015,Yemen,Middle East and North Africa,136,4.077,0.04367,NA,NA,1.92313,0.35571,0.54649,0.09131,0.40064,0.07854,0.68093,NA,NA,NA,NA,NA,NA,NA
2015,Angola,Sub-Saharan Africa,137,4.033,0.04758,NA,NA,1.94939,0.10384,0.75778,0.12344,0.16683,0.07122,0.8604,NA,NA,NA,NA,NA,NA,NA
2015,Mali,Sub-Saharan Africa,138,3.995,0.05602,NA,NA,1.79293,0.38857,0.26074,0.18798,0.20583,0.12352,1.03526,NA,NA,NA,NA,NA,NA,NA
2015,Congo,Sub-Saharan Africa,139,3.989,0.06682,NA,NA,1.68135,0.41466,0.67866,0.12388,0.31051,0.11686,0.6629,NA,NA,NA,NA,NA,NA,NA
2015,Comoros,Sub-Saharan Africa,140,3.956,0.04797,NA,NA,1.95812,0.22917,0.23906,0.17441,0.36315,0.199,0.79273,NA,NA,NA,NA,NA,NA,NA
2015,Uganda,Sub-Saharan Africa,141,3.931,0.04317,NA,NA,1.42766,0.45727,0.21102,0.29066,0.33861,0.07267,1.13299,NA,NA,NA,NA,NA,NA,NA
2015,Senegal,Sub-Saharan Africa,142,3.904,0.03608,NA,NA,1.44395,0.36772,0.36498,0.20843,0.4354,0.10713,0.97619,NA,NA,NA,NA,NA,NA,NA
2015,Gabon,Sub-Saharan Africa,143,3.896,0.045469999999999997,NA,NA,0.99895,0.31914,1.06024,0.06822,0.43372,0.11091,0.90528,NA,NA,NA,NA,NA,NA,NA
2015,Niger,Sub-Saharan Africa,144,3.845,0.03602,NA,NA,1.87877,0.47692,0.0694,0.19387,0.29707,0.15639,0.77265,NA,NA,NA,NA,NA,NA,NA
2015,Cambodia,Southeast Asia,145,3.819,0.05069,NA,NA,0.98195,0.66246,0.46038,0.40359,0.61114,0.07247,0.62736,NA,NA,NA,NA,NA,NA,NA
2015,Tanzania,Sub-Saharan Africa,146,3.781,0.05061,NA,NA,1.38079,0.32878,0.2852,0.34377,0.38215,0.05747,1.00268,NA,NA,NA,NA,NA,NA,NA
2015,Madagascar,Sub-Saharan Africa,147,3.681,0.03633,NA,NA,1.851,0.19184,0.20824,0.21333,0.46721,0.08124,0.66801,NA,NA,NA,NA,NA,NA,NA
2015,Central African Republic,Sub-Saharan Africa,148,3.678,0.06112,NA,NA,2.7223,0.48879,0.0785,0.23835,0.06699,0.08289,0,NA,NA,NA,NA,NA,NA,NA
2015,Chad,Sub-Saharan Africa,149,3.667,0.0383,NA,NA,1.94296,0.23501,0.34193,0.18386,0.1501,0.05269,0.76062,NA,NA,NA,NA,NA,NA,NA
2015,Guinea,Sub-Saharan Africa,150,3.656,0.0359,NA,NA,1.99172,0.37725,0.17417,0.28657,0.24009,0.12139,0.46475,NA,NA,NA,NA,NA,NA,NA
